title,brand,price,img_url,category,shelf_life,id
Baby Powder,Himalaya Baby,83.0,https://www.bigbasket.com/media/uploads/p/l/100014839_4-himalaya-baby-baby-powder.jpg,Baby Care,365.0,169
Triphala Extract 500 mg Vegetarian Capsules - For Digestion & Constipation,Natures Velvet,800.0,https://www.bigbasket.com/media/uploads/p/l/40115064_4-natures-velvet-triphala-extract-500-mg-vegetarian-capsules-for-digestion-constipation.jpg,Beauty & Hygiene,520.0,170
Maxx Pet Plastic Premium Container - Pink,Saaj,176.0,https://www.bigbasket.com/media/uploads/p/l/40162324_4-saaj-maxx-pet-plastic-premium-container-pink.jpg,"Kitchen, Garden & Pets",,171
Men Active Protect Underarm Protection Roll On,Rexona,135.0,https://www.bigbasket.com/media/uploads/p/l/40167180_3-rexona-men-active-protect-underarm-protection-roll-on.jpg,Beauty & Hygiene,520.0,172
"Fish Chettinad Cubes - Fresh & Juicy, Marinated, Ready To Cook",Fresho,362.0,https://www.bigbasket.com/media/uploads/p/l/40231716_2-fresho-fish-chettinad-cubes-juicy-fresh.jpg,"Eggs, Meat & Fish",60.0,173
"Anti Skid Door/Floor Mat - Eazy Home Beige, Premium, Strong & Durable",Athom Trendz,499.0,https://www.bigbasket.com/media/uploads/p/l/40238129_1-athom-trendz-anti-skid-doorfloor-mat-eazy-home-beige-premium-strong-durable.jpg,Cleaning & Household,730.0,174
"Classic Borosilicate Glass Container - Square, High Quality, Durable, Dishwasher Safe",Sanjeev Kapoor,715.0,https://www.bigbasket.com/media/uploads/p/l/40232361_1-sanjeev-kapoor-classic-borosilicate-glass-container-square-high-quality-durable-dishwasher-safe.jpg,"Kitchen, Garden & Pets",,175
Moisturising Body Lotion - Triple Vitamin,Ponds,549.0,https://www.bigbasket.com/media/uploads/p/l/40229721_1-ponds-moisturising-body-lotion-triple-vitamin.jpg,Beauty & Hygiene,520.0,176
Lemongrass Try Me Personal Care Gift Set,Soulflower,1000.0,https://www.bigbasket.com/media/uploads/p/l/40147533_1-soulflower-lemongrass-try-me-personal-care-gift-set.jpg,Beauty & Hygiene,520.0,177
Acno Fight Anti-Pimple Facewash for Acne Prone Skin,Garnier Men,650.0,https://www.bigbasket.com/media/uploads/p/l/1214116_1-garnier-men-acno-fight-anti-pimple-facewash-for-acne-prone-skin.jpg,Beauty & Hygiene,520.0,178
Darjeeling Premium Summer Black Tea,VAHDAM,999.0,https://www.bigbasket.com/media/uploads/p/l/40193300_2-vahdam-organic-single-estate-darjeeling-black-tea-second-flush-unblended.jpg,Beverages,180.0,179
Tomato Ketchup - Tangy Flavour,Mrs.Food Rite,130.0,https://www.bigbasket.com/media/uploads/p/l/40235757_1-mrsfood-rite-tomato-ketchup-tangy-flavour.jpg,Snacks & Branded Foods,,180
Durum Wheat Pasta - Penne,Wingreens Farms,175.0,https://www.bigbasket.com/media/uploads/p/l/40197260_2-wingreens-farms-durum-wheat-pasta-penne.jpg,Gourmet & World Food,,181
Ultra Gold AA Battery,VictorPro,150.0,https://www.bigbasket.com/media/uploads/p/l/40199537_2-victor-gold-power-battery-aa.jpg,"Kitchen, Garden & Pets",,182
"Deodorant - Turbo, For Men",Smart Collection,199.0,https://www.bigbasket.com/media/uploads/p/l/40226514_1-smart-collection-deodorant-turbo-for-men.jpg,Beauty & Hygiene,520.0,183
By Salman Khan Perfumed Deodorant Body Spray - Tiger 200 ml + Hero 200 ml,FRSH,498.0,https://www.bigbasket.com/media/uploads/p/l/1214992_1-frsh-by-salman-khan-perfumed-deodorant-body-spray-tiger-200-ml-hero-200-ml.jpg,Beauty & Hygiene,520.0,184
Soya Chunks,BB Royal,220.0,https://www.bigbasket.com/media/uploads/p/l/40073435_2-bb-royal-soya-chunks.jpg,"Foodgrains, Oil & Masala",180.0,185
Basmati Rice/Basmati Akki - Super,India Gate,960.0,https://www.bigbasket.com/media/uploads/p/l/190594_5-india-gate-basmati-rice-super.jpg,"Foodgrains, Oil & Masala",180.0,186
Nacho Chips - Jalapeno,Tasties,40.0,https://www.bigbasket.com/media/uploads/p/l/40196815_2-tasties-nacho-chips-jalapeno.jpg,Gourmet & World Food,,187
Cellulose Wipes - Biodegradable & Dries Quickly,Gebi ,149.0,https://www.bigbasket.com/media/uploads/p/l/40250840_2-gebi-cellulose-wipes-biodegradable-dries-quickly.jpg,Cleaning & Household,730.0,188
"Perfume Body Spray - Active, Long Lasting Fragrance, For Men",One8 By Virat Kohli,249.0,https://www.bigbasket.com/media/uploads/p/l/40235435_2-one8-by-virat-kohli-perfume-body-spray-active-long-lasting-fragrance-for-men.jpg,Beauty & Hygiene,520.0,189
Premium Wafer Bites - Orange 100 g + Hazelnut 100 g + Cappucino 100 g,Tasties,255.0,https://www.bigbasket.com/media/uploads/p/l/1212218_1-tasties-premium-wafer-bites-orange-100-g-hazelnut-100-g-cappucino-100-g.jpg,Snacks & Branded Foods,,190
Cashew/Godambi - Split,BB Popular,750.0,https://www.bigbasket.com/media/uploads/p/l/40019554_7-bb-popular-cashewkaju-split.jpg,"Foodgrains, Oil & Masala",180.0,191
"Tandoori Chicken Wings - Fresh & Juicy, Marinated, Ready To Cook",Fresho,542.0,https://www.bigbasket.com/media/uploads/p/l/40231723_3-fresho-tandoori-chicken-wings-juicy.jpg,"Eggs, Meat & Fish",60.0,192
Cold Processed Deodorizing Charcoal Handmade Soap,Soulflower,800.0,https://www.bigbasket.com/media/uploads/p/l/1208797_1-soulflower-cold-processed-deodorizing-charcoal-handmade-soap.jpg,Beauty & Hygiene,520.0,193
Cassia - Split,BB Popular,80.0,https://www.bigbasket.com/media/uploads/p/l/40084993_22-bb-popular-cassia-split.jpg,"Foodgrains, Oil & Masala",180.0,194
Kolkata/Bengali Hilsa Fish - Medium,Fresho,3155.0,https://www.bigbasket.com/media/uploads/p/l/40119211_2-fresho-hilsa-medium.jpg,"Eggs, Meat & Fish",60.0,195
"Metallic Foil Curtains - Blue, For Decorations",Hankley,799.0,https://www.bigbasket.com/media/uploads/p/l/40244254_1-hankley-metallic-foil-curtains-blue-for-decorations.jpg,Cleaning & Household,730.0,196
"Signature - Champion, Long Lasting, No Gas, Deodorant Bodyspray, Perfume For Men",Axe,280.0,https://www.bigbasket.com/media/uploads/p/l/40158273_3-axe-signature-champion-long-lasting-no-gas-deodorant-bodyspray-perfume-for-men.jpg,Beauty & Hygiene,520.0,197
"Ultra Dotted Condom - For Extended Pleasure, Extra Lubrication",KamaSutra,340.0,https://www.bigbasket.com/media/uploads/p/l/40225417_1-kamasutra-ultra-dotted-condom-for-extended-pleasure-extra-lubrication.jpg,Beauty & Hygiene,520.0,198
"Cherry Shine Lip Balm - 24h Moisture With Natural Oils, Red Shine & Cherry Aroma",Nivea,199.0,https://www.bigbasket.com/media/uploads/p/l/295626_7-nivea-cherry-shine-lip-balm-24h-moisture-with-natural-oils-red-shine-cherry-aroma.jpg,Beauty & Hygiene,520.0,199
Toilet Cleaning - Plunger Medium,Liao,478.0,https://www.bigbasket.com/media/uploads/p/l/1204330_1-liao-toilet-cleaning-plunger-medium.jpg,Cleaning & Household,730.0,200
Damage Therapy Dandruff Care Conditioner,Dove,199.0,https://www.bigbasket.com/media/uploads/p/l/262980_1-dove-conditioner-dandruff.jpg,Beauty & Hygiene,520.0,201
"Shower Gel - Aroma, Absolute Relax 750 ml + Aroma, Morning Tonic 750 ml",Palmolive,1078.0,https://www.bigbasket.com/media/uploads/p/l/1213782_2-palmolive-shower-gel-aroma-absolute-relax-750-ml-aroma-morning-tonic-750-ml.jpg,Beauty & Hygiene,520.0,202
"Chilli - Bajji, Mild (Loose)",Fresho,20.13,https://www.bigbasket.com/media/uploads/p/l/10000079_16-fresho-chilli-bajji-mild.jpg,Fruits & Vegetables,7.0,203
"Apple Cider Vinegar Gummies, ACV With Mother & Vitamins, Supports Immunity, Detox & Digestion",Carbamide Forte,900.0,https://www.bigbasket.com/media/uploads/p/l/40255419_1-carbamide-forte-apple-cider-vinegar-gulies-acv-with-mother-vitamins-supports-ilunity-detox-digestion.jpg,Beauty & Hygiene,520.0,204
Baby Lips Colour Changing Lip Balm,Maybelline New York,199.0,https://www.bigbasket.com/media/uploads/p/l/40152443_5-maybelline-new-york-baby-lips-colour-changing-lip-balm.jpg,Beauty & Hygiene,520.0,205
Herbal Rose & Aloevera Facial Massage Gel,Khadi Natural,215.0,https://www.bigbasket.com/media/uploads/p/l/40171526_4-khadi-natural-herbal-rose-aloevera-facial-massage-gel.jpg,Beauty & Hygiene,520.0,206
Scale - Plastic,Faber castell,200.0,https://www.bigbasket.com/media/uploads/p/l/40126494_2-faber-castell-scale-plastic.jpg,Cleaning & Household,730.0,207
Pineapple,Fresho Signature,85.0,https://www.bigbasket.com/media/uploads/p/l/40076825_6-fresho-signature-dry-fruit-pineapple.jpg,Gourmet & World Food,,208
Pure Chocolate - Creamy White,Heidi,300.0,https://www.bigbasket.com/media/uploads/p/l/40113117_2-heidi-pure-creamy-white.jpg,Gourmet & World Food,,209
Rectangular Bucket With Wringer Krata,YORK,999.0,https://www.bigbasket.com/media/uploads/p/l/40204223_2-york-rectangular-bucket-with-wringer-krata.jpg,Cleaning & Household,730.0,210
Hello Sun Sunblock & Anti-Tan Lotion - SPF30,Joy,275.0,https://www.bigbasket.com/media/uploads/p/l/40170455_3-joy-hello-sun-sunblock-anti-tan-lotion-spf30.jpg,Beauty & Hygiene,520.0,211
Cashew/Godambi - Split,BB Royal,360.0,https://www.bigbasket.com/media/uploads/p/l/40111138_9-bb-royal-cashewkaju-split.jpg,"Foodgrains, Oil & Masala",180.0,212
"Organic - Green Moong/Hesaru Kaalu, Whole",BB Royal,179.0,https://www.bigbasket.com/media/uploads/p/l/40072471_15-bb-royal-organic-green-moong-whole.jpg,"Foodgrains, Oil & Masala",180.0,213
"Stainless Steel Kitchen Tool Set - Ladle, Skimmer & Spatula, Heat-Resistant, Silver",Renberg,399.0,https://www.bigbasket.com/media/uploads/p/l/40254245_2-renberg-stainless-steel-kitchen-tool-set-ladle-skiler-spatula-heat-resistant-silver.jpg,"Kitchen, Garden & Pets",,214
"Nature’s Superfoods Gluten Free Flour - Rich In Dietary Fibre, Protein, Magnesium & Iron",Aashirvaad,210.0,https://www.bigbasket.com/media/uploads/p/l/40172984_4-aashirvaad-natures-super-foods-gluten-free-flour.jpg,"Foodgrains, Oil & Masala",180.0,215
"Perk - Chocolate, Home Treats, 175.5 g, 27 Units",Cadbury,198.0,https://www.bigbasket.com/media/uploads/p/l/1207411_1-cadbury-perk-chocolate-home-treats-1755-g-27-units.jpg,Snacks & Branded Foods,,216
Extra Virgin Olive Oil,Pietro Coricelli,980.0,https://www.bigbasket.com/media/uploads/p/l/40078842_2-pietro-coricelli-olive-oil-extra-virgin.jpg,Gourmet & World Food,,217
Olive Oil - Extra Virgin,ALLEGRO,850.0,https://www.bigbasket.com/media/uploads/p/l/40117982_7-allegro-olive-oil-extra-virgin.jpg,"Foodgrains, Oil & Masala",180.0,218
"Diamond Lock Container - Assorted Colour, Plastic, Printed, Round",JOYO,298.0,https://www.bigbasket.com/media/uploads/p/l/40180604_8-joyo-diamond-lock-round-plastic-container-printed-assorted-colour.jpg,"Kitchen, Garden & Pets",,219
"Crispy Chicken Pops - Crunchy Outside, Juicy Inside, With Natural Ingredients, No Preservatives",Fresho,229.0,https://www.bigbasket.com/media/uploads/p/l/40250792_1-fresho-crispy-chicken-pops-crunchy-outside-juicy-inside-with-natural-ingredients-no-preservatives.jpg,"Eggs, Meat & Fish",60.0,220
Rosemary Essential Oil,Soulflower,450.0,https://www.bigbasket.com/media/uploads/p/l/30006513_4-soulflower-rosemary-essential-oil.jpg,Beauty & Hygiene,520.0,221
"Squid - Medium, Without Head, 15-20 pcs",Fresho,917.0,https://www.bigbasket.com/media/uploads/p/l/10000967_8-fresho-squid-medium-without-head-15-20-pcs.jpg,"Eggs, Meat & Fish",60.0,222
"Smooth & Silky Anti-Dandruff Shampoo - Smooth Hair from Root to Tip, Upto 100% Dandruff Free",Head & shoulders,930.0,https://www.bigbasket.com/media/uploads/p/l/40117656_3-head-shoulders-anti-dandruff-shampoo-smooth-silky-moisturises-cleanses-restores.jpg,Beauty & Hygiene,520.0,223
"Stainless Steel Turner Spatula - Big, Classic Diana Series, BBKT32",BB Home,159.0,https://www.bigbasket.com/media/uploads/p/l/40190888_8-bb-home-stainless-steel-turner-spatula-big-classic-diana-series-bbkt32.jpg,"Kitchen, Garden & Pets",,224
"Egg Tray - Orange, Durable",Polyset,219.0,https://www.bigbasket.com/media/uploads/p/l/40228410_1-polyset-egg-tray-orange-durable.jpg,"Kitchen, Garden & Pets",,225
